
('024085', '13453', 'D3', 'Analis Kesehatan - 13453'),
('094079', '13453', 'D3', 'Analis Kesehatan - 13453'),
('094079', '13453', 'D3', 'Analis Kesehatan - 13453'),
('074108', '13453', 'D3', 'Analis Kesehatan - 13453'),
('074108', '13453', 'D3', 'Analis Kesehatan - 13453'),
('054061', '13453', 'D3', 'Analis Kesehatan - 13453'),
('054061', '13453', 'D3', 'Analis Kesehatan - 13453'),
('094110', '13453', 'D3', 'Analis Kesehatan - 13453'),
('094110', '13453', 'D3', 'Analis Kesehatan - 13453'),
('064145', '13453', 'D3', 'Analis Kesehatan - 13453'),
('064145', '13453', 'D3', 'Analis Kesehatan - 13453'),
('064062', '13453', 'D3', 'Analis Kesehatan - 13453'),
('064062', '13453', 'D3', 'Analis Kesehatan - 13453'),
('104088', '13453', 'D3', 'Analis Kesehatan - 13453'),
('104088', '13453', 'D3', 'Analis Kesehatan - 13453'),
('344008', '43453', 'D3', 'Analis Kesehatan - 43453'),
('344008', '43453', 'D3', 'Analis Kesehatan - 43453'),
('344022', '43453', 'D3', 'Analis Kesehatan - 43453'),
('344022', '43453', 'D3', 'Analis Kesehatan - 43453'),
('104113', '13453', 'D3', 'Analis Kesehatan - 13453'),
('104113', '13453', 'D3', 'Analis Kesehatan - 13453'),
('014229', '13453', 'D3', 'Analis Kesehatan - 13453'),
('014229', '13453', 'D3', 'Analis Kesehatan - 13453'),
('064159', '13453', 'D3', 'Analis Kesehatan - 13453'),
('064159', '13453', 'D3', 'Analis Kesehatan - 13453'),
('074037', '13453', 'D3', 'Analis Kesehatan - 13453'),
('074037', '13453', 'D3', 'Analis Kesehatan - 13453'),
('024032', '13453', 'D3', 'Analis Kesehatan - 13453'),
('024032', '13453', 'D3', 'Analis Kesehatan - 13453'),
('074043', '13453', 'D3', 'Analis Kesehatan - 13453'),
('074043', '13453', 'D3', 'Analis Kesehatan - 13453'),
('094043', '24402', 'D3', 'Analis Kimia - 24402'),
('094043', '24402', 'D3', 'Analis Kimia - 24402'),
('044132', '13453', 'D3', 'Analis Kesehatan - 13453'),
('044132', '13453', 'D3', 'Analis Kesehatan - 13453'),
('474003', '61108', '', 'Strategi Operasi Laut - 61108'),
('474003', '63314', 'D4', 'Manajemen Logistik dan Keuangan  Matra La - 63314'),
('474003', '61308', 'D4', 'Manajemen Pertahanan Matra Laut - 61308'),
('474003', '61309', 'D4', 'Manajemen Pertahanan Matra Laut Aspek Dar - 61309'),
('474003', '20301', 'D4', 'Teknik Elektronika Kapal Perang - 20301'),
('474003', '21301', 'D4', 'Teknik Mesin Kapal Perang - 21301'),
('474003', '21301', 'D4', 'Teknik Mesin Kapal Perang - 21301'),
('474002', '61308', 'D4', 'Pertahanan TNI Angkatan Udara - 61308'),
('474002', '40301', 'D4', 'Teknik Aeronautika Pertahanan - 40301'),
('474002', '20301', 'D4', 'Teknik Elektronika Pertahanan - 20301'),
('474002', '26301', 'D4', 'Teknik Manajemen Industri Pertahanan - 26301'),
('474002', '26301', 'D4', 'Teknik Manajemen Industri Pertahanan - 26301'),
('034206', '94404', 'D3', 'Audiologi - 94404'),
('034206', '94404', 'D3', 'Audiologi - 94404'),
('064002', '79602', 'D1', 'Bahasa Inggris - 79602'),
('064002', '79408', 'D3', 'Bahasa Belanda - 79408'),
('064002', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064002', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104041', '79502', '', 'Bahasa Inggris - 79502'),
('104041', '79602', 'D1', 'Bahasa Inggris - 79602'),
('104041', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104041', '79402', 'D3', 'Bahasa Inggris - 79402'),
('094004', '79402', 'D3', 'Bahasa Inggris - 79402'),
('094004', '79406', 'D3', 'Bahasa Jerman - 79406'),
